timestamp,predictionRFC_Indoor,predictionRFC_Outdoor,predictionLSTM_Indoor,predictionLSTM_Outdoor
2024-06-22 17:01:03,1.0,0.0,0.99905556,9.4442064E-4
2024-06-22 17:01:05,1.0,0.0,0.99905556,9.4442064E-4
2024-06-22 17:01:06,1.0,0.0,0.99905556,9.4442064E-4
2024-06-22 17:01:07,1.0,0.0,0.99905556,9.4442064E-4
2024-06-22 17:01:09,0.99,0.01,0.99905545,9.445984E-4
2024-06-22 17:01:10,0.99,0.01,0.99905545,9.445984E-4
2024-06-22 17:01:12,0.42,0.58,0.1517733,0.84822667
2024-06-22 17:01:13,0.37,0.63,0.35971895,0.640281
2024-06-22 17:01:15,0.29,0.71,0.08193722,0.9180628
2024-06-22 17:01:16,0.37,0.63,0.18292922,0.8170707
2024-06-22 17:01:17,0.29,0.71,0.18508671,0.8149133
2024-06-22 17:01:19,0.36,0.64,0.2346152,0.7653848
2024-06-22 17:01:20,0.55,0.45,0.4229673,0.5770327
2024-06-22 17:01:22,0.3,0.7,0.15503046,0.8449695
2024-06-22 17:01:23,0.36,0.64,0.19304141,0.80695856